freq	morph	lang	stem	morph_type	person	gender	number	state	pos	lexical_class	distinct_variants
56965	R	H							preposition	prep	7
56522	C	H							conjunction	cj	4
33625	Np	H		proper					noun	noun	4
26271	Ncmsc	H		common		masculine	singular	construct	noun	noun	5
25348	Ncmsa	H		common		masculine	singular	absolute	noun	noun	7
23896	Td	H		definite article					particle	art	4
13392	Sp3ms	H		pronominal	third	masculine	singular		suffix	pron	1
11300	Ncmpc	H		common		masculine	plural	construct	noun	noun	4
10977	To	H		direct object marker					particle	om	2
9371	Ncfsa	H		common		feminine	singular	absolute	noun	noun	5
8427	Ncmpa	H		common		masculine	plural	absolute	noun	noun	3
8232	Sp1cs	H		pronominal	first	common	singular		suffix	pron	2
7319	Vqw3ms	H	qal	wayyiqtol	third	masculine	singular		verb	verb	1
7086	Sp3mp	H		pronominal	third	masculine	plural		suffix	pron	1
6798	Tn	H		negative					particle	adv	3
6624	Ncfsc	H		common		feminine	singular	construct	noun	noun	5
6584	Sp2ms	H		pronominal	second	masculine	singular		suffix	pron	1
6435	Rd	H							preposition	prep	1
5654	Tr	H		relative					particle	rel	2
5230	Ncbsa	H		common		both	singular	absolute	noun	noun	4
5142	Ncbsc	H		common		both	singular	construct	noun	noun	2
4525	Vqc	H	qal	infinitive construct					verb	verb	2
4372	Vqp3ms	H	qal	qatal	third	masculine	singular		verb	verb	2
4194	D	H							adverb	adv	7
3626	Aamsa	H		adjective		masculine	singular	absolute	adjective	adj	5
3321	Sp3fs	H		pronominal	third	feminine	singular		suffix	pron	1
3240	Vqi3ms	H	qal	yiqtol	third	masculine	singular		verb	verb	1
2913	Ncbpc	H		common		both	plural	construct	noun	noun	2
2649	Sp2mp	H		pronominal	second	masculine	plural		suffix	pron	1
2470	Vqrmsa	H	qal	participle active		masculine	singular	absolute	verb	verb	3
2424	Ncfpc	H		common		feminine	plural	construct	noun	noun	2
2402	Vqw3mp	H	qal	wayyiqtol	third	masculine	plural		verb	verb	1
2375	Ncfpa	H		common		feminine	plural	absolute	noun	noun	2
2238	Ti	H		interrogative					particle	pron	5
2193	Vqp3cp	H	qal	qatal	third	common	plural		verb	verb	1
1773	Sp1cp	H		pronominal	first	common	plural		suffix	pron	1
1749	Sp2fs	H		pronominal	second	feminine	singular		suffix	pron	1
1726	Vqi3mp	H	qal	yiqtol	third	masculine	plural		verb	verb	1
1700	Tm	H		demonstrative					particle	ij	4
1589	Acmsa	H		cardinal number		masculine	singular	absolute	adjective	num	3
1543	Vqv2ms	H	qal	imperative	second	masculine	singular		verb	verb	2
1509	Aampa	H		adjective		masculine	plural	absolute	adjective	adj	2
1487	Acbpa	H		cardinal number		both	plural	absolute	adjective	num	2
1427	Vqp1cs	H	qal	qatal	first	common	singular		verb	verb	1
1414	Acfsa	H		cardinal number		feminine	singular	absolute	adjective	num	2
1395	Pp3ms	H		personal	third	masculine	singular		pronoun	pron	1
1283	Vqq3ms	H	qal	weqatal	third	masculine	singular		verb	verb	2
1233	Pp1cs	H		personal	first	common	singular		pronoun	pron	1
1190	Pdxms	H		demonstrative		masculine	singular		pronoun	adj	2
1180	Vqi2ms	H	qal	yiqtol	second	masculine	singular		verb	verb	1
1124	Ta	H		affirmation					particle	cj	3
1122	Vqrmpa	H	qal	participle active		masculine	plural	absolute	verb	verb	3
1093	Vqi1cs	H	qal	yiqtol	first	common	singular		verb	verb	1
1092	Vqv2mp	H	qal	imperative	second	masculine	plural		verb	verb	1
1079	Sd	H		directional he					suffix	x	2
1035	Vqrmpc	H	qal	participle active		masculine	plural	construct	verb	verb	3
1027	Vhw3ms	H	hiphil	wayyiqtol	third	masculine	singular		verb	verb	1
1000	Ncbdc	H		common		both	dual	construct	noun	noun	1
973	Aafsa	H		adjective		feminine	singular	absolute	adjective	adj	3
972	Vqw3fs	H	qal	wayyiqtol	third	feminine	singular		verb	verb	1
