translation	book	chapter	verse	segment_text	flag	seg_bases	paired_surface	paired_strongs	paired_class
ASV	1CH	1	42	of Dishan	ORPHAN_TAG	1789			
ASV	1CH	2	3	unto him of Shua	ORPHAN_TAG	7774			
ASV	1CH	2	3	's daughter	ORPHAN_TAG	1323			
ASV	1CH	2	18	children of	ORPHAN_TAG	854			
ASV	1CH	2	52	: Haroeh	ORPHAN_TAG	7204			
ASV	1CH	2	52	of the Menuhoth	ORPHAN_TAG	2679			
ASV	1CH	2	54	, Atroth-beth	ORPHAN_TAG	5852			
ASV	1CH	2	55	of Hammath	ORPHAN_TAG	2574			
ASV	1CH	3	1	the Jezreelitess	ORPHAN_TAG	3159			
ASV	1CH	3	1	the Carmelitess	ORPHAN_TAG	3762			
ASV	1CH	3	17	, the captive	ORPHAN_TAG	617			
ASV	1CH	4	12	. These are the men	ORPHAN_TAG	582			
ASV	1CH	4	14	Ge-harashim	ORPHAN_TAG	2798			
ASV	1CH	4	14	; for they were craftsmen	ORPHAN_TAG	2791			
ASV	1CH	4	19	of Hodiah	ORPHAN_TAG	1940			
ASV	1CH	4	22	, and the men	ORPHAN_TAG	582			
ASV	1CH	4	23	and Gederah	ORPHAN_TAG	1448			
ASV	1CH	4	39	And they went	ORPHAN_TAG	3212			
ASV	1CH	4	41	, and the Meunim	ORPHAN_TAG	4583			
ASV	1CH	4	42	men	ORPHAN_TAG	582			
ASV	1CH	5	9	even unto the entrance	ORPHAN_TAG	935			
ASV	1CH	5	18	, of valiant men	ORPHAN_TAG	582			
ASV	1CH	5	24	men	ORPHAN_TAG	582			
ASV	1CH	5	24	men	ORPHAN_TAG	582			
ASV	1CH	6	3	of Amram	ORPHAN_TAG	6019			
ASV	1CH	6	3	, and Miriam	ORPHAN_TAG	4813			
ASV	1CH	6	3	: Nadab	ORPHAN_TAG	5070			
ASV	1CH	6	3	, and Abihu	ORPHAN_TAG	30			
ASV	1CH	6	3	, Eleazar	ORPHAN_TAG	499			
ASV	1CH	6	3	, and Ithamar	ORPHAN_TAG	385			
ASV	1CH	6	4	begat	ORPHAN_TAG	3205			
ASV	1CH	6	4	begat	ORPHAN_TAG	3205			
ASV	1CH	6	5	and Abishua	ORPHAN_TAG	50			
ASV	1CH	6	5	begat	ORPHAN_TAG	3205			
ASV	1CH	6	5	begat	ORPHAN_TAG	3205			
ASV	1CH	6	6	and Uzzi	ORPHAN_TAG	5813			
ASV	1CH	6	6	begat	ORPHAN_TAG	3205			
ASV	1CH	6	6	Zerahiah	ORPHAN_TAG	2228			
ASV	1CH	6	6	, and Zerahiah	ORPHAN_TAG	2228			
ASV	1CH	6	6	begat	ORPHAN_TAG	3205			
ASV	1CH	6	7	Meraioth	ORPHAN_TAG	4812			
ASV	1CH	6	7	begat	ORPHAN_TAG	3205			
ASV	1CH	6	7	Amariah	ORPHAN_TAG	568			
ASV	1CH	6	7	, and Amariah	ORPHAN_TAG	568			
ASV	1CH	6	7	begat	ORPHAN_TAG	3205			
ASV	1CH	6	7	Ahitub	ORPHAN_TAG	285			
ASV	1CH	6	8	and Ahitub	ORPHAN_TAG	285			
ASV	1CH	6	8	begat	ORPHAN_TAG	3205			
ASV	1CH	6	8	begat	ORPHAN_TAG	3205			
ASV	1CH	6	9	and Ahimaaz	ORPHAN_TAG	290			
ASV	1CH	6	9	begat	ORPHAN_TAG	3205			
ASV	1CH	6	9	begat	ORPHAN_TAG	3205			
ASV	1CH	6	9	Johanan	ORPHAN_TAG	3110			
